sampleid	Phylum	Class	Order	Family	Genus	Species	DietSimp	DietSpec	Diet_2	DietClassSimp	DietClassSpec	SimpClass	SimpClass2	SimpClassDiet	Location	Notes	Study	Primer	Primer2	FASTQ.gzfiles	Metadata(custom)	pairedORsingle	initials	duplicate	Species_copy	pref name	species2	taxid	code	Aug8order	Chordata
11166.ATL.24066.tortoise	Chordata	Reptilia	Testudines	Testudinidae	Aldabrachelys	Aldabrachelys_gigantea	Herbivore	Herbivore		ReptiliaHerbivore	ReptiliaHerbivore	Reptilia	Reptilia	ReptiliaHerbivore			11166		V4						Aldabrachelys gigantea	Aldabrachelys gigantea	Aldabrachelys_gigantea	167804.0	1.0	1523	Vertebrate
SKA_10S_004H	Chordata	Reptilia	Crocodylia	Crocodylidae	Alligator	Alligator_mississippiensis	Carnivore	duodenum	farm_raised	ReptiliaCarnivore	Reptiliaduodenum	Reptilia	Reptilia	ReptiliaCarnivore			Keenan_et_al_2013	V1-V3	V1-V3						Alligator mississippiensis	Alligator mississippiensis	Alligator_mississippiensis	8496.0	1.0	1575	Vertebrate
13743253	Chordata	Reptilia	squamata	viperidae	trimeresurus	trimeresurus_flavomaculatus	Carnivore	Carnivore		ReptiliaCarnivore	ReptiliaCarnivore	Reptilia	Reptilia	ReptiliaCarnivore			Colston		V4						trimeresurus flavomaculatus	Trimeresurus flavomaculatus	Trimeresurus_flavomaculatus	109780.0	1.0	12939	Vertebrate
tang11	Chordata	Reptilia	Crocodilia	Alligatoridae	Alligator	Alligator_Sinensis	Carnivore	Carnivore		ReptiliaCarnivore	ReptiliaCarnivore	Reptilia	Reptilia	ReptiliaCarnivore			Tang_et_al_2019	V3-V4	V3-V4	yes	no	single	SJ		Alligator Sinensis	Alligator sinensis	Alligator_sinensis	38654.0	1.0	1595	Vertebrate
Trevelline22	Chordata	Reptilia	Squamata	Phrynosomatidae	Sceloporus	Sceloporus_Undulatus	Carnivore	Insectivore		ReptiliaCarnivore	ReptiliaInsectivore	Reptilia	Reptilia	ReptiliaCarnivore		captive	Trevelline_et_al_2019	V4	V4	yes		single	DW		Sceloporus Undulatus	Sceloporus undulatus	Sceloporus_undulatus	8520.0	1.0	11084	Vertebrate
11166.FD.0055.tortoise	Chordata	Reptilia	Testudines	Testudinidae	Centrochelys	Centrochelys_sulcata	Herbivore	Herbivore		ReptiliaHerbivore	ReptiliaHerbivore	Reptilia	Reptilia	ReptiliaHerbivore			11166		V4						Centrochelys sulcata	Centrochelys sulcata	Centrochelys_sulcata	1540822.0	1.0	3668	Vertebrate
SKA_10S_007H	Chordata	Reptilia	Crocodylia	Crocodylidae	Alligator	Alligator_mississippiensis	Carnivore	feces	farm_raised	ReptiliaCarnivore	Reptiliafeces	Reptilia	Reptilia	ReptiliaCarnivore			Keenan_et_al_2013	V1-V3	V1-V3						Alligator mississippiensis	Alligator mississippiensis	Alligator_mississippiensis	8496.0	1.0	1578	Vertebrate
13743277	Chordata	Reptilia	squamata	colubridae	boiga	boiga_dendrophila	Carnivore	Carnivore		ReptiliaCarnivore	ReptiliaCarnivore	Reptilia	Reptilia	ReptiliaCarnivore			Colston		V4						boiga dendrophila	Boiga dendrophila	Boiga_dendrophila	46286.0	1.0	2963	Vertebrate
tang9	Chordata	Reptilia	Crocodilia	Alligatoridae	Alligator	Alligator_Sinensis	Carnivore	Carnivore		ReptiliaCarnivore	ReptiliaCarnivore	Reptilia	Reptilia	ReptiliaCarnivore			Tang_et_al_2019	V3-V4	V3-V4	yes	no	single	SJ		Alligator Sinensis	Alligator sinensis	Alligator_sinensis	38654.0	1.0	1593	Vertebrate
ibanez7	Chordata	Reptilia	Squamata	Iguanidae	Amblyrhynchus	Amblyrhynchus_Cristatus	Herbivore	Herbivore		ReptiliaHerbivore	ReptiliaHerbivore	Reptilia	Reptilia	ReptiliaHerbivore		samplesconsistedofvarioussubspecies	Ibanez_et_al_2021	V4	V4	yes		single	AK		Amblyrhynchus Cristatus	Amblyrhynchus cristatus	Amblyrhynchus_cristatus	51208.0	1.0	1715	Vertebrate
13414.77.hg	Chordata	Actinopterygii	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus stilbius	Omnivore	Omnivore	V383	ActinopterygiiOmnivore	ActinopterygiiOmnivore	Actinopterygii	Actinopterygii	ActinopterygiiOmnivore					V4						Leuroglossus stilbius	Leuroglossus stilbius	Leuroglossus_stilbius	301819.0	1.0	13484	Vertebrate
hwang4	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore		ClitellataOmnivore	ClitellataDetritivore	other	other	otherOmnivore			Wang_et_al_2019	V4-V5	V4-V5	yes	No	single	SJ		Metaphire sieboldi	Metaphire sieboldi	Metaphire_sieboldi	506672.0	1.0	7884	Invertebrate
Gong1	Annelida	Clitellata	Crassiclitellata	Lumbricidae	Aporrectodea	Aporrectodea_Rosea	Omnivore	Planktivore	Planktivore	ClitellataOmnivore	ClitellataPlanktivore	other	other	otherOmnivore			Gong_et_al_2022	V4	V4	yes	no	paired	DW		Aporrectodea Rosea	Aporrectodea rosea	Aporrectodea_rosea	27389.0	1.0	2451	Invertebrate
AA32	Echinodermata	Echinoidea	spatangoida	schizasteridae	abatus	abatus_agassizii	Omnivore	Omnivore	gut_microbiota	EchinoideaOmnivore	EchinoideaOmnivore	other	other	otherOmnivore			schwob		V4						abatus agassizii	Abatus agassizii	Abatus_agassizii	1194296.0	1.0	1241	Invertebrate
13414.92.hg	Chordata	Actinopterygii	Pempheriformes	Polyprionidae	Stereolepsis	Stereolepis gigas	Carnivore	Carnivore	V448	ActinopterygiiCarnivore	ActinopterygiiCarnivore	Actinopterygii	Actinopterygii	ActinopterygiiCarnivore					V4						Stereolepis gigas	Stereolepis gigas	Stereolepis_gigas	184449.0	1.0	13498	Vertebrate
Littornia-saxatilis5	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littorina	Littornia_saxatilis	Omnivore	Omnivore		GastropodaOmnivore	GastropodaOmnivore	other	other	otherOmnivore			Maltseva_et_al_2021	V3-V4	V3-V4	yes	yes	paired	NS		Littornia saxatilis	Littornia saxatilis	Littornia_saxatilis		3.0	7474	Invertebrate
11166.hoatzin.4C	Chordata	Aves	Opisthocomiformes	Opisthocomidae	Opisthocomus	Opisthocomus_hoazin	Herbivore	Herbivore		AvesHerbivore	AvesHerbivore	Aves	other	AvesHerbivore			11166		V4						Opisthocomus hoazin	Opisthocomus hoazin	Opisthocomus_hoazin	30419.0	1.0	9030	Vertebrate
WS22	water	water	water	water	water	water_water	environment	water	environment	waterenvironment	waterwater	environment	environment	environmentenvironment			LTR_2016		V4						water water	water water	water_water		3.0	1132	Invertebrate
Li_Osphranter_Rufus10	Chordata	Mammalia	Diprotodontia	Macropodidae	Osphranter	Osphranter_Rufus	Herbivore	Herbivore		MammaliaHerbivore	MammaliaHerbivore	Mammalia	Mammalia	MammaliaHerbivore		studysampledbydifferentlocationsinthedigestivetract	Li_et_al_2016	V3-V4	V3-V4	yes	yes	single	AK	duplicateresolved(AK)	Osphranter Rufus	Osphranter rufus	Osphranter_rufus	9321.0	1.0	9152	Vertebrate
wang-5	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps_Himalayensis	Carnivore	Carnivore	Scavenger	AvesCarnivore	AvesCarnivore	Aves	other	AvesCarnivore			Wang_et_al_2021	V4-V5	V4	yes		single	ES		Gyps Himalayensis	Gyps himalayensis	Gyps_himalayensis	36248.0	1.0	5719	Vertebrate
